代号	舰船本名
樱yīng	峰风
榊sakaki(shén)	神风
櫂zhào/zhuō	朝风
橪rǎn	春风
棡gāng	松风
樋tōng	旗风
椎zhuī/chuí	追风
枳zhǐ/zhí	夕凪
松sōng	睦月
樟zhāng	如月
楙mào	卯月
杌wù	水无月
橗méng	文月
枨chéng	长月
檧sōng	三日月
桐tóng	吹雪
杉shān/shā	白雪
杨yáng	初雪
梧wú/wù/yǔ	深雪
朴pò	浦波
柚yòu/yóu/zhú	绫波
柿shì	敷波
棪yǎn	曙
槿jǐn	涟
槟bīn/bīng	潮
枫fēng	晓
栀zhī	响
梓zǐ	雷
柏bǎi/bó/bò	电
梅méi	初春
楉ruò	若叶
檨shē	初霜
榎jiǎ	有明
棭yì	夕暮
梿lián	白露
栴zhān	时雨
椿chūn	夕立
菪dàng	海风
杣mián	山风
茳jiāng	江风
莨liáng/làng	凉风
棹zhào/zhuō	朝潮
荙dá	大潮
樠mán	满潮
栘yí	荒潮
蕸xiá	霞
萩qiū	阳炎
蒲pú/bó	不知火
蓉róng	黑潮
藮qiáo	亲潮
菙chuí	初风
莲lián	雪风
菡hàn	天津风
槆chūn	浦风
柉fán	矶风
樇xiū	滨风
栭ér	谷风
苓líng	野分
萍píng	岚
莵tù/tú	萩风
蒠xī	舞风
茭jiāo/xiǎo	夕云
荨tán/qián	卷云
枟yùn	风云
苌cháng	长波
棬quān/juàn	卷波
棈qiàn	清波
椛momiji(huā)	秋月
檚chǔ	初月
栎lì/láo/yuè	凉月
枥lì	新月
㮔tóng	冬月
桸xī	春月
楛kǔ/hù	宵月
槾màn/wàn	满月
榵róng	花月
芒máng/huǎng	岛风
㭴jiān	樫野
豺chái	天龙
豹bào	龙田
熊xióng	球磨
狸lí/mái	北上
獾huān	大井
貊mò	长良
貉hé/mò/mà/háo	五十铃
㹨yòu	由良
猤guì	鬼怒
貃mò	阿武隈
狐hú	夕张
貆huán/huān	川内
貎ní	神通
豻àn	那珂
豼pí	阿贺野
貅xiū	能代
貁yòu	矢矧
淀diàn	大淀
狼láng/làng	古鹰
狌xīng/shēng	加古
犹yóu	青叶
猅pái	衣笠
猨yuán	最上
狻suān	三隈
狺yín	铃谷
猁lì	熊野
猑kūn	利根
狘xuè	筑摩
獌màn	妙高
狏tuó/yí	那智
狳yú	足柄
犰qiú	羽黑
獒áo	高雄
犬quǎn	爱宕
犮quǎn/bá	摩耶
猋biāo	鸟海
鲤lǐ	金刚
鲟xún	比叡
鲑guī/xié/wā	榛名
鳗mán	雾岛
鳐yáo	天城
鲙kuài	敷岛
鲐tái	三笠
魟hóng	扶桑
鲼fèn	山城
鳌áo	伊势
螯áo	日向
鲨shā	长门
鲛jiāo	陆奥
䲠chūn	土佐
鲣jiān	纪伊
鲪jūn	骏河
鲸jīng	大和
鳄è	武藏
凤fèng	凤翔
枭xiāo	龙骧
鹞yào/yáo	祥凤
鹳guàn	瑞凤
鹂lí	千岁
鹃juān	千代田
迖dá	大鲸
鸗lóng	龙凤
鸱chī	飞鹰
鸢yuān	隼鹰
凰huáng	赤城
鸾luán	加贺
蛟jiāo	苍龙
龙lóng/lǒng/máng	飞龙
鹬yù	翔鹤
鹤hè	瑞鹤
鹩liáo	大凤
靇lóng	云龙
鹖hé	葛城
鵗xī	信浓
鹫jiù	白龙
茗míng	明石
峦luán	伊吹
侌yīn	出云
苝bèi	北风
猉qí	吾妻
玖jiǔ	伊9
十纱shíshā	伊13
伊知梦yīzhīmèng	伊16
衣玖yījiǔ	伊19
双叶檎shuāngyèqín	伊25
双叶梦shuāngyèmèng	伊26
冴诗hǔshī	伊54
冴梦hǔmèng	伊56
冴矢hǔshǐ	伊58
六重liùchóng/zhòng	伊60
伊吕波yīllǚbō	伊168
诗玖玲shījiǚlíng	伊490
小鲟xiaoxun	小比叡
小凰xiaohuang	小赤城
小鳐xiaoyao	小天城
